id,digit,anio,mes,fecha,municipio,zona,calles,inmueble,oferta,sup lote,sup constr,dormitorios,banios,garaje,nueva,costo total,repetidos,especiales,observaciones,s_mun,s_ofer,s_inm,s_dorm,s_ban,s_neo,s_lot,s_const,S_PRECIO,SL,SC,PRECIO,PLOTE,PCONST,PCOMT,PLTMT,base
1275,rld,2012,10,7,Cochabamba,norte,dpto parque lincoln,Departamento,Dueño,,124,2,,1,0,73500,,0,,cb,dueno,depto,1-2,ne,ne,ne,52-126,11-82,0,1,1,0,1,592.7419355,,2.00
1276,rld,2012,10,7,Cochabamba,norte,dpto recoleta,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1277,rld,2012,10,7,Cochabamba,norte,dpto muyurina,Departamento,Dueño,,,,,1,1,,,0,baulera,cb,dueno,depto,NE,ne,nueva,ne,ne,ne,0,0,0,0,0,,,2.00
1278,rld,2012,10,7,Cochabamba,norte,ed titan av america,Departamento,Dueño,,190,4,,,0,,,0,,cb,dueno,depto,4,ne,ne,ne,169-272,ne,0,1,0,0,0,,,2.00
1279,rld,2012,10,7,Cochabamba,norte,dpto av santa cruz,Departamento,Dueño,,,2,,,0,,,0,,cb,dueno,depto,1-2,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1281,rld,2012,10,7,Cochabamba,norte,dpto en cond valle sarco,Departamento,Dueño,,,3,2,,0,42800,,0,baulera,cb,dueno,depto,3,1-2,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1282,rld,2012,10,7,Cochabamba,norte,dpto av america y beiging,Departamento,Dueño,,,2,,,0,48000,,0,,cb,dueno,depto,1-2,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1283,rld,2012,10,7,Cochabamba,este,dpto z. las cuadras,Departamento,Dueño,,760,,,,0,258000,,0,,cb,dueno,depto,NE,ne,ne,ne,273+,194+,0,1,1,0,1,339.4736842,,2.00
1284,rld,2012,10,7,Cochabamba,norte,dpto 2da circunvalacion,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1285,rld,2012,10,7,Cochabamba,norte,dpto av aniceto padilla,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1286,rld,2012,10,7,Cochabamba,norte,ed palmeto z. sarco,Departamento,Dueño,,87,,,1,0,,,0,baulera,cb,dueno,depto,NE,ne,ne,ne,52-126,ne,0,1,0,0,0,,,2.00
1287,rld,2012,10,7,Cochabamba,centro,dpto av ayacucho,Departamento,Dueño,,,,,,0,,,0,,cb,dueno,depto,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1288,rld,2012,10,7,Cochabamba,norte,ed titan av america,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
